,Instrument,Date,1 Month Total Return,Company Market Cap,Price Close
0,FSLR.OQ,,NaN,,
1,FSLR.OQ,,NaN,,
2,FSLR.OQ,,NaN,,
3,FSLR.OQ,,NaN,,
4,FSLR.OQ,,NaN,,
5,FSLR.OQ,,NaN,,
6,FSLR.OQ,,NaN,,
7,FSLR.OQ,,NaN,,
8,FSLR.OQ,,NaN,,
9,FSLR.OQ,,NaN,,
10,FSLR.OQ,,NaN,,
11,FSLR.OQ,,NaN,,
12,FSLR.OQ,,NaN,,
13,FSLR.OQ,,NaN,,
14,FSLR.OQ,,NaN,,
15,FSLR.OQ,,NaN,,
16,FSLR.OQ,,NaN,,
17,FSLR.OQ,,NaN,,
18,FSLR.OQ,,NaN,,
19,FSLR.OQ,,NaN,,
20,FSLR.OQ,,NaN,,
21,FSLR.OQ,,NaN,,
22,FSLR.OQ,,NaN,,
23,FSLR.OQ,,NaN,,
24,FSLR.OQ,,NaN,,
25,FSLR.OQ,,NaN,,
26,FSLR.OQ,,NaN,,
27,FSLR.OQ,,NaN,,
28,FSLR.OQ,,NaN,,
29,FSLR.OQ,,NaN,,
30,FSLR.OQ,,NaN,,
31,FSLR.OQ,,NaN,,
32,FSLR.OQ,,NaN,,
33,FSLR.OQ,,NaN,,
34,FSLR.OQ,2006-11-30T00:00:00Z,14.3896523841806,1963659910.8,28.3
35,FSLR.OQ,2006-12-29T00:00:00Z,5.30035335852164,2070516315.84,29.8
36,FSLR.OQ,2007-01-31T00:00:00Z,8.62416107235899,2246066124.12,32.37
37,FSLR.OQ,2007-02-28T00:00:00Z,63.8641043235318,3313242429.0,47.75
38,FSLR.OQ,2007-03-30T00:00:00Z,8.92146596910262,3763610968.18,52.01
39,FSLR.OQ,2007-04-30T00:00:00Z,15.3432032305006,4341069447.82,59.99
40,FSLR.OQ,2007-05-31T00:00:00Z,13.4189031529498,4923719226.72,68.04
41,FSLR.OQ,2007-06-29T00:00:00Z,30.7320644210032,6461476921.72,89.29
42,FSLR.OQ,2007-07-31T00:00:00Z,26.0723485303031,8146135704.75999,112.57
43,FSLR.OQ,2007-08-31T00:00:00Z,-7.84400817338927,7572805154.46,103.74
44,FSLR.OQ,2007-09-28T00:00:00Z,14.8795004385834,8594768860.6671,117.74
